,count,duration,duration_bin,durations,type
0,1,4 Seasons,,,TV Show
5,1,1 Season,,,TV Show
11,1,1 Season,,,TV Show
12,1,1 Season,,,TV Show
16,1,1 Season,,,TV Show
24,1,2 Seasons,,,TV Show
26,1,1 Season,,,TV Show
29,1,1 Season,,,TV Show
38,1,1 Season,,,TV Show
45,1,1 Season,,,TV Show
51,1,1 Season,,,TV Show
53,1,1 Season,,,TV Show
58,1,1 Season,,,TV Show
61,1,1 Season,,,TV Show
63,1,4 Seasons,,,TV Show
64,1,3 Seasons,,,TV Show
80,1,1 Season,,,TV Show
85,1,1 Season,,,TV Show
86,1,1 Season,,,TV Show
87,1,1 Season,,,TV Show
95,1,1 Season,,,TV Show
108,1,2 Seasons,,,TV Show
111,1,2 Seasons,,,TV Show
112,1,1 Season,,,TV Show
130,1,1 Season,,,TV Show
132,1,1 Season,,,TV Show
134,1,1 Season,,,TV Show
137,1,1 Season,,,TV Show
138,1,1 Season,,,TV Show
139,1,1 Season,,,TV Show
140,1,1 Season,,,TV Show
141,1,2 Seasons,,,TV Show
142,1,1 Season,,,TV Show
152,1,1 Season,,,TV Show
180,1,1 Season,,,TV Show
188,1,1 Season,,,TV Show
191,1,1 Season,,,TV Show
195,1,1 Season,,,TV Show
197,1,1 Season,,,TV Show
198,1,1 Season,,,TV Show
199,1,1 Season,,,TV Show
202,1,1 Season,,,TV Show
213,1,1 Season,,,TV Show
218,1,1 Season,,,TV Show
225,1,3 Seasons,,,TV Show
235,1,1 Season,,,TV Show
239,1,1 Season,,,TV Show
241,1,1 Season,,,TV Show
248,1,2 Seasons,,,TV Show
256,1,1 Season,,,TV Show
258,1,2 Seasons,,,TV Show
259,1,1 Season,,,TV Show
260,1,1 Season,,,TV Show
276,1,1 Season,,,TV Show
284,1,2 Seasons,,,TV Show
288,1,2 Seasons,,,TV Show
289,1,1 Season,,,TV Show
290,1,1 Season,,,TV Show
294,1,1 Season,,,TV Show
303,1,1 Season,,,TV Show
306,1,1 Season,,,TV Show
319,1,1 Season,,,TV Show
321,1,1 Season,,,TV Show
322,1,1 Season,,,TV Show
324,1,2 Seasons,,,TV Show
333,1,1 Season,,,TV Show
335,1,1 Season,,,TV Show
336,1,2 Seasons,,,TV Show
337,1,1 Season,,,TV Show
338,1,1 Season,,,TV Show
339,1,1 Season,,,TV Show
340,1,1 Season,,,TV Show
341,1,3 Seasons,,,TV Show
348,1,1 Season,,,TV Show
349,1,2 Seasons,,,TV Show
350,1,1 Season,,,TV Show
357,1,1 Season,,,TV Show
359,1,1 Season,,,TV Show
360,1,2 Seasons,,,TV Show
363,1,1 Season,,,TV Show
364,1,1 Season,,,TV Show
365,1,1 Season,,,TV Show
367,1,1 Season,,,TV Show
380,1,4 Seasons,,,TV Show
389,1,1 Season,,,TV Show
393,1,1 Season,,,TV Show
396,1,1 Season,,,TV Show
398,1,1 Season,,,TV Show
404,1,1 Season,,,TV Show
405,1,2 Seasons,,,TV Show
409,1,1 Season,,,TV Show
411,1,5 Seasons,,,TV Show
412,1,1 Season,,,TV Show
426,1,1 Season,,,TV Show
428,1,1 Season,,,TV Show
434,1,5 Seasons,,,TV Show
437,1,2 Seasons,,,TV Show
440,1,2 Seasons,,,TV Show
449,1,1 Season,,,TV Show
451,1,1 Season,,,TV Show
452,1,2 Seasons,,,TV Show
457,1,3 Seasons,,,TV Show
458,1,1 Season,,,TV Show
460,1,1 Season,,,TV Show
468,1,9 Seasons,,,TV Show
471,1,1 Season,,,TV Show
475,1,2 Seasons,,,TV Show
478,1,1 Season,,,TV Show
494,1,1 Season,,,TV Show
504,1,1 Season,,,TV Show
515,1,1 Season,,,TV Show
516,1,1 Season,,,TV Show
523,1,3 Seasons,,,TV Show
531,1,1 Season,,,TV Show
533,1,1 Season,,,TV Show
534,1,1 Season,,,TV Show
539,1,3 Seasons,,,TV Show
540,1,1 Season,,,TV Show
543,1,1 Season,,,TV Show
544,1,1 Season,,,TV Show
545,1,1 Season,,,TV Show
549,1,5 Seasons,,,TV Show
556,1,2 Seasons,,,TV Show
558,1,1 Season,,,TV Show
559,1,1 Season,,,TV Show
565,1,2 Seasons,,,TV Show
569,1,1 Season,,,TV Show
570,1,2 Seasons,,,TV Show
574,1,2 Seasons,,,TV Show
575,1,1 Season,,,TV Show
576,1,1 Season,,,TV Show
578,1,1 Season,,,TV Show
583,1,5 Seasons,,,TV Show
584,1,8 Seasons,,,TV Show
586,1,1 Season,,,TV Show
595,1,3 Seasons,,,TV Show
596,1,1 Season,,,TV Show
597,1,1 Season,,,TV Show
598,1,3 Seasons,,,TV Show
603,1,1 Season,,,TV Show
609,1,1 Season,,,TV Show
610,1,1 Season,,,TV Show
615,1,1 Season,,,TV Show
616,1,1 Season,,,TV Show
619,1,3 Seasons,,,TV Show
621,1,1 Season,,,TV Show
624,1,1 Season,,,TV Show
630,1,1 Season,,,TV Show
632,1,3 Seasons,,,TV Show
639,1,1 Season,,,TV Show
640,1,1 Season,,,TV Show
641,1,1 Season,,,TV Show
651,1,1 Season,,,TV Show
667,1,2 Seasons,,,TV Show
668,1,3 Seasons,,,TV Show
669,1,2 Seasons,,,TV Show
672,1,3 Seasons,,,TV Show
676,1,1 Season,,,TV Show
677,1,1 Season,,,TV Show
680,1,1 Season,,,TV Show
685,1,2 Seasons,,,TV Show
686,1,1 Season,,,TV Show
690,1,3 Seasons,,,TV Show
693,1,1 Season,,,TV Show
694,1,1 Season,,,TV Show
698,1,1 Season,,,TV Show
702,1,1 Season,,,TV Show
703,1,3 Seasons,,,TV Show
704,1,1 Season,,,TV Show
705,1,1 Season,,,TV Show
706,1,1 Season,,,TV Show
707,1,1 Season,,,TV Show
720,1,1 Season,,,TV Show
721,1,1 Season,,,TV Show
723,1,1 Season,,,TV Show
724,1,1 Season,,,TV Show
725,1,1 Season,,,TV Show
726,1,1 Season,,,TV Show
731,1,1 Season,,,TV Show
735,1,3 Seasons,,,TV Show
736,1,2 Seasons,,,TV Show
740,1,1 Season,,,TV Show
750,1,1 Season,,,TV Show
759,1,1 Season,,,TV Show
760,1,1 Season,,,TV Show
761,1,5 Seasons,,,TV Show
766,1,1 Season,,,TV Show
768,1,1 Season,,,TV Show
769,1,1 Season,,,TV Show
777,1,1 Season,,,TV Show
778,1,1 Season,,,TV Show
779,1,1 Season,,,TV Show
783,1,1 Season,,,TV Show
784,1,1 Season,,,TV Show
786,1,3 Seasons,,,TV Show
788,1,1 Season,,,TV Show
791,1,4 Seasons,,,TV Show
793,1,2 Seasons,,,TV Show
797,1,1 Season,,,TV Show
800,1,1 Season,,,TV Show
805,1,1 Season,,,TV Show
